"Cluster","Gene"
"HSA-MIR-503-5P","CCND1"
"HSA-MIR-505-3P","TGFA"
"HSA-MIR-505-3P","AMFR"
"HSA-MIR-506-3P","WNK1"
"HSA-MIR-509-3-5P","PODXL"
"HSA-MIR-518B","FOXN1"
"HSA-MIR-519D-3P","PPARA"
"HSA-MIR-520A-3P","CCND1"
"HSA-MIR-520B","CCND1"
"HSA-MIR-520C-3P","GPC3"
"HSA-MIR-520C-3P","MTOR"
"HSA-MIR-532-5P","RUNX3"
"HSA-MIR-532-5P","NKD1"
"HSA-MIR-542-3P","BMP7"
"HSA-MIR-548A-3P","ECHS1"
"HSA-MIR-548D-5P","PPARA"
"HSA-MIR-550A-5P","RNF43"
"HSA-MIR-569","SPI1"
"HSA-MIR-576-3P","CCND1"
"HSA-MIR-5787","ELF5"
"HSA-MIR-582-3P","SFRP1"
"HSA-MIR-582-5P","EFNB2"
"HSA-MIR-590-5P","BTG2"
"HSA-MIR-603","CCND1"
"HSA-MIR-613","BDNF"
"HSA-MIR-629-5P","HNF4A"
"HSA-MIR-630","BCL2"
"HSA-MIR-630","CDC14A"
"HSA-MIR-639","FOXC1"
"HSA-MIR-670-5P","PROX1"
"HSA-MIR-675-5P","DDB2"
"HSA-MIR-7-5P","HOXB5"
"HSA-MIR-7-5P","RGS5"
"HSA-MIR-7-5P","BCL2"
"HSA-MIR-708-5P","BCL2"
"HSA-MIR-708-5P","CCND1"
"HSA-MIR-718","HOXB8"
"HSA-MIR-744-5P","SFRP1"
"HSA-MIR-744-5P","NKD1"
"HSA-MIR-765","HNF4A"
"HSA-MIR-766-3P","HNF4A"
"HSA-MIR-874-3P","AQP3"
"HSA-MIR-9-3P","RGS5"
"HSA-MIR-9-3P","PPARA"
"HSA-MIR-9-5P","NOX4"
"HSA-MIR-9-5P","BCL2"
"HSA-MIR-9-5P","CCND1"
"HSA-MIR-9-5P","PPARA"
"HSA-MIR-92A-3P","RGS5"
"HSA-MIR-95-3P","CCND1"
"HSA-MIR-96-3P","RGS5"
"HSA-MIR-96-5P","SCARB1"
"HSA-MIR-96-5P","BDNF"
"HSA-MIR-98-5P","BCL2"
"HSA-MIR-99A-5P","NOX4"
"HSA-MIR-99A-5P","MTOR"
"HSA-MIR-99B-5P","MTOR"
"HSA-LET-7A-5P","TGFBR3"
"HSA-LET-7C-5P","MTOR"
"HSA-LET-7E-5P","MYCN"
