"miRNA","gene","corr"
"hsa-miR-143-3p","Empty 0",
"hsa-miR-542-3p","Empty 0",
"hsa-miR-423-5p","Empty 0",
"hsa-miR-766-3p","Empty 0",
"hsa-miR-452-5p","Empty 0",
"hsa-miR-345-5p","Empty 0",
"hsa-miR-93-3p","Empty 0",
"hsa-miR-151a-5p","GHR",-0.6153369933949789
"hsa-miR-151a-5p","JAM2",-0.6032789580763673
"hsa-miR-151a-5p","SOX10",-0.6359308283802827
"hsa-miR-151a-5p","MEF2C",-0.607279317577022
"hsa-miR-151a-5p","AQP1",-0.601787915127721
"hsa-miR-151a-5p","SPON1",-0.6014680391469065
"hsa-miR-151a-5p","GNG7",-0.6018894998886989
"hsa-miR-151a-5p","FAM149A",-0.6346778506392937
"hsa-miR-151a-5p","MBD5",-0.6003638223072447
"hsa-miR-151a-5p","NFIA",-0.6067269213194272
"hsa-miR-151a-5p","ST8SIA1",-0.6087666140248202
"hsa-miR-151a-5p","C10orf72",-0.6131144540852997
"hsa-miR-151a-5p","RNASE4",-0.6110359971821947
"hsa-miR-151a-5p","MEIS1",-0.6192347345045393
"hsa-miR-151a-5p","MEF2D",-0.6082756777420011
"hsa-miR-151a-5p","GSTM5",-0.6131392891207921
"hsa-miR-151a-5p","TENC1",-0.607954618611791
"hsa-miR-151a-5p","HERC1",-0.6223219990880188
"hsa-miR-151a-5p","ZFP2",-0.6063687941964215
"hsa-miR-151a-5p","SLC9A9",-0.6052739413397376
"hsa-miR-151a-5p","PKD2",-0.6015167888118046
"hsa-miR-151a-5p","STAT5B",-0.6136949391942257
"hsa-miR-151a-5p","NEK1",-0.6090073942117673
"hsa-miR-151a-5p","RHOJ",-0.6025450391329736
"hsa-miR-151a-5p","ZBTB4",-0.6036563665071549
"hsa-miR-151a-5p","PRIMA1",-0.6290810330060937
"hsa-miR-16-5p","SPON1",-0.6121251317802516
"hsa-miR-16-5p","RNASE4",-0.6380708222887918
"hsa-miR-16-5p","MEIS1",-0.6152150462092979
"hsa-miR-16-5p","GARNL3",-0.6104744088422058
"hsa-miR-16-5p","ZFP2",-0.61646911560231
"hsa-miR-16-5p","SLC9A9",-0.6232179795794562
"hsa-miR-16-5p","ZBTB4",-0.6402758046291908
"hsa-miR-125a-5p","Empty 0",
