"Cluster","Gene"
"HSA-MIR-185-5P","SLC9A1"
"HSA-MIR-185-5P","DUSP4"
"HSA-MIR-185-5P","SLC8A1"
"HSA-MIR-188-5P","ITGA7"
"HSA-MIR-1908-5P","APOE"
"HSA-MIR-190A-5P","KCNQ5"
"HSA-MIR-191-5P","CCND2"
"HSA-MIR-192-5P","CAV1"
"HSA-MIR-192-5P","NID1"
"HSA-MIR-192-5P","ITGB3"
"HSA-MIR-194-5P","ITSN1"
"HSA-MIR-194-5P","SOX5"
"HSA-MIR-195-5P","CHEK1"
"HSA-MIR-195-5P","TAB3"
"HSA-MIR-195-5P","WNT7A"
"HSA-MIR-196A-5P","HOXD8"
"HSA-MIR-196A-5P","HOXB7"
"HSA-MIR-196A-5P","HOXB8"
"HSA-MIR-196A-5P","MAMDC2"
"HSA-MIR-196B-5P","HOXB7"
"HSA-MIR-196B-5P","HOXB8"
"HSA-MIR-198","CCND2"
"HSA-MIR-198","FGFR1"
"HSA-MIR-199A-3P","APOE"
"HSA-MIR-199A-3P","PTGS2"
"HSA-MIR-199A-5P","APOE"
"HSA-MIR-199A-5P","CAV1"
"HSA-MIR-199A-5P","PTGS2"
"HSA-MIR-19B-3P","CYP19A1"
"HSA-MIR-19B-3P","PITX1"
"HSA-MIR-200A-3P","SRF"
"HSA-MIR-200A-3P","ZEB2"
"HSA-MIR-200B-3P","FERMT2"
"HSA-MIR-200B-3P","SEC23A"
"HSA-MIR-200B-3P","ZEB2"
"HSA-MIR-200C-3P","JAZF1"
"HSA-MIR-200C-3P","CFL2"
"HSA-MIR-200C-3P","MYLK"
"HSA-MIR-200C-3P","SEC23A"
"HSA-MIR-200C-3P","ZEB2"
"HSA-MIR-203A-3P","HOXD3"
"HSA-MIR-203A-3P","CAV1"
"HSA-MIR-203A-3P","WIF1"
"HSA-MIR-203A-3P","EYA4"
"HSA-MIR-203A-3P","ZEB2"
"HSA-MIR-203A-5P","CCND2"
"HSA-MIR-204-5P","TRPM3"
"HSA-MIR-205-5P","ITGA5"
"HSA-MIR-205-5P","ZEB2"
"HSA-MIR-206","CCND2"
"HSA-MIR-20A-5P","EGLN3"
"HSA-MIR-20A-5P","CCND2"
"HSA-MIR-20A-5P","TCEAL1"
"HSA-MIR-20A-5P","PRKG1"
"HSA-MIR-20A-5P","DUSP2"
"HSA-MIR-21-5P","TGFBR3"
"HSA-MIR-21-5P","SOX5"
"HSA-MIR-21-5P","TPM1"
"HSA-MIR-21-5P","MSLN"
"HSA-MIR-21-5P","CLU"
"HSA-MIR-210-3P","FGFRL1"
"HSA-MIR-210-3P","EHD2"
"HSA-MIR-210-3P","HIF3A"
"HSA-MIR-212-3P","ABCG2"
"HSA-MIR-214-3P","FGFR1"
"HSA-MIR-215-5P","NID1"
"HSA-MIR-215-5P","ZEB2"
